Season,Champion,Runner-up,Score
2000–01,West Petrom Arad,Asesoft Ploiești,3–0
2001–02,West Petrom Arad,Dinamo București,3–2
2002–03,Dinamo București,West Petrom Arad,3–2
2003–04,Asesoft Ploiești,Dinamo București,3–1
2004–05,Asesoft Ploiești,Dinamo București,3–1
2005–06,Asesoft Ploiești,U Mobitelco Cluj-Napoca,4–1
2006–07,Asesoft Ploiești,Argeș Piteşti,4–1
2007–08,Asesoft Ploiești,U Mobitelco Cluj-Napoca,4–3
2008–09,Asesoft Ploiești,BC Timișoara,4–0
2009–10,Asesoft Ploiești,U Mobitelco Cluj-Napoca,4–0
2010–11,U Mobitelco Cluj-Napoca,Asesoft Ploiești,4–2
2011–12,Asesoft Ploiești,Timișoara,4–0
2012–13,Asesoft Ploiești,BC Mureș,4–2
2013–14,Asesoft Ploiești,CSM Oradea,3–2
2014–15,Asesoft Ploiești,BC Mureș,3–0
2015–16,CSM Oradea,BC Mureș,3–2
2016–17,U-BT Cluj-Napoca,Steaua CSM Eximbank,3–0
2017–18,CSM Oradea,Steaua CSM Eximbank,3–1
2018–19,CSM Oradea,CSU Sibiu,3–1
2019–20,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic
2020–21,U-BT Cluj-Napoca,CSM Oradea,3–2
2021–22,U-BT Cluj-Napoca,CSO Voluntari,3–1
