Ed.,Season,Champion,Runner-up,Result,Winning Coach
1,1985,Ferro Carril Oeste,Atenas,2–1,Luis Martínez
2,1986,Ferro Carril Oeste,Olimpo,3–1,Luis Martínez
3,1987,Atenas,Ferro Carril Oeste,3–1,Walter Garrone
4,1988,Atenas,River Plate,3–0,Walter Garrone
5,1989,Ferro Carril Oeste,Atenas,3–2,León Najnudel
6,1990,Atenas,Cañadense,3–0,Walter Garrone
7,1990–91,GEPU,Estudiantes (BB),4–2,Daniel Rodríguez
8,1991–92,Atenas,GEPU,4–1,Rubén Magnano
9,1992–93,GEPU,Atenas,4–2,Orlando Ferratto
10,1993–94,Peñarol (MDP),Independiente (GP),4–1,Nestor García
11,1994–95,Independiente (GP),Olimpia (VT),4–1,Mario Guzmán
12,1995–96,Olimpia (VT),Atenas,4–3,Horacio Seguí
13,1996–97,Boca Juniors,Independiente (GP),4–1,Julio Lamas
14,1997–98,Atenas,Boca Juniors,4–0,Rubén Magnano
15,1998–99,Atenas,Independiente (GP),4–3,Rubén Magnano
16,1999–00,Estudiantes (O),Atenas,4–3,Sergio Hernández
17,2000–01,Estudiantes (O),Libertad,4–1,Sergio Hernández
18,2001–02,Atenas,Estudiantes (O),4–1,Horacio Seguí
19,2002–03,Atenas,Boca Juniors,4–2,Oscar Sánchez
20,2003–04,Boca Juniors,Gimnasia y Esgrima (LP),4–2,Sergio Hernández
21,2004–05,Ben Hur,Boca Juniors,4–1,Julio Lamas
22,2005–06,Gimnasia y Esgrima (CR),Libertad,4–2,Fernando Duró
23,2006–07,Boca Juniors,Peñarol,4–2,Gabriel Piccato
24,2007–08,Libertad,Quimsa,4–0,Julio Lamas
25,2008–09,Atenas,Peñarol,4–2,Rubén Magnano
26,2009–10,Peñarol (MDP),Atenas,4–1,Sergio Hernández
27,2010–11,Peñarol (MDP),Atenas,4–1,Sergio Hernández
28,2011–12,Peñarol (MDP),Obras Sanitarias,4–2,Sergio Hernández
29,2012–13,Regatas (C),Lanús,4–0,Nicolás Casalánguida
30,2013–14,Peñarol (MDP),Regatas,4–2,Fernando Rivero
31,2014–15,Quimsa,Gimnasia y Esgrima (CR),4–2,Silvio Santander
32,2015–16,San Lorenzo,La Unión,4–0,Julio Lamas
33,2016–17,San Lorenzo,Regatas,4–1,Julio Lamas
34,2017–18,San Lorenzo,San Martín (C),4–2,Gonzalo García
35,2018–19,San Lorenzo,Instituto,4–3,Gonzalo García
–,2019–20,(season cancelled due to the Covid-19 pandemic),(season cancelled due to the Covid-19 pandemic),(season cancelled due to the Covid-19 pandemic),(season cancelled due to the Covid-19 pandemic)
36,2020–21,San Lorenzo,Quimsa,3–2,Silvio Santander
37,2021–22,Instituto,Quimsa,3–2,Lucas Victoriano
