Season,Champion,Score,Runner-up,Third place
1992–93,RTI Minsk,,RTI-2 Minsk,ENKA Minsk Region
1993–94,RTI-2-RUOR Minsk,,RTI Minsk,Avtozavodets Minsk
1994–95,RTI Minsk,,Grodno-93,Avtozavodets Minsk
1995–96,Grodno-93,,RTI Minsk,Avtozavodets Minsk
1996–97,RUOR Minsk,,Grodno-93,RTI Minsk
1997–98,Grodno-93,,Lokomotiv Vitebsk,OZAA Osipovichi
1999–00,Grodno-93,,Spartak Gomel,OZAA Osipovichi
2000–01,Grodno-93,,RTI Minsk,Spartak Gomel
2001–02,Grodno-93,,Spartak Gomel,OZAA Osipovichi
2002–03,Grodno-93,,RTI RUOR Minsk,BC Minsk
2003–04,Grodno-93,,Lokomotiv Vitebsk,RSHVSM Minsk
2004–05,Vitalyur-RGUOR Minsk,,Grodno-93,Lokomotiv Vitebsk
2005–06,Vitalyur-RGUOR Minsk,,Grodno-93,Lokomotiv Vitebsk
2006–07,Vitalyur-RGUOR Minsk,,Grodno-93,OZAA Osipovichi
2007–08,Vitalyur-RGUOR Minsk,,Minsk 2006,OZAA Osipovichi
2008–09,Minsk 2006,3 — 0,Vitalyur-RGUOR Minsk,OZAA Osipovichi
2009–10,Minsk 2006,3 — 0,Grodno-93,OZAA Osipovichi
2010–11,Minsk 2006,3 — 0,Grodno-93,OZAA Osipovichi
2011–12,Minsk 2006,97 — 74,Grodno-93,OZAA Osipovichi
2012–13,Tsmoki-Minsk,3 — 0,Grodno-93,Tsmoki-Minsk II
2013–14,Tsmoki-Minsk,3 — 1,Grodno-93,Sozh Gomel
2014–15,Tsmoki-Minsk,3 — 0,Grodno-93,Borisfen Mogilev
2015–16,Tsmoki-Minsk,3 — 0,Grodno-93,Borisfen Mogilev
2016–17,Tsmoki-Minsk,3 — 0,Grodno-93,Borisfen Mogilev
2017–18,Tsmoki-Minsk,3 — 0,Borisfen Mogilev,Grodno-93
2018–19,Tsmoki-Minsk,3 — 0,Borisfen Mogilev,Tsmoki-Minsk Reserves
2019–20,Tsmoki-Minsk,92 — 53,Borisfen Mogilev,Grodno-93
2020–21,Tsmoki-Minsk,3 — 1,Borisfen Mogilev,Impuls-BGUIR
2021–22,Tsmoki-Minsk,3 — 1,Borisfen Mogilev,Grodno-93
