Season,Champion,Runner-up,Finals score,Bronze medal
1980–81,Torpan Pojat,Tampereen Pyrintö,3–0,Hyvinkään Tahko
1981–82,Turun NMKY,Pantterit,3–2,KTP Basket
1982–83,Torpan Pojat,Pantterit,3–2,Turun NMKY
1983–84,Helsingin NMKY,Tapiolan Honka,3–0,KTP Basket
1984–85,Helsingin NMKY,KTP Basket,3–1,UU
1985–86,Torpan Pojat,KTP Basket,3–1,Helsingin NMKY
1986–87,Helsingin NMKY,KTP Basket,3–0,UU
1987–88,KTP Basket,Helsingin NMKY,3–2,Torpan Pojat
1988–89,Helsingin NMKY,HoNsU,3–2,Pantterit
1989–90,UU,KTP Basket,3–1,Helsingin NMKY
1990–91,KTP Basket,HoNsU,3–2,Torpan Pojat
1991–92,Helsingin NMKY,Pantterit,4–2,UU
1992–93,KTP Basket,Torpan Pojat,3–0,HoNsU
1993–94,KTP Basket,Torpan Pojat,3–2,Forssan Koripojat
1994–95,Kouvot,Korihait,3–1,Torpan Pojat
1995–96,Torpan Pojat,Namika Lahti,,Espoon Honka
1996–97,Torpan Pojat,Kouvot,,Espoon Honka
1997–98,Torpan Pojat,Kouvot,,Espoon Honka
1998–99,Kouvot,Espoon Honka,3–1,Turun NMKY
1999–00,Namika Lahti,Torpan Pojat,3–2,Espoon Honka
2000–01,Espoon Honka,Tampereen Pyrintö,3–0,Namika Lahti
2001–02,Espoon Honka,Namika Lahti,3–2,Kataja
2002–03,Espoon Honka,Kataja,3–1,Pussihukat
2003–04,Kouvot,Namika Lahti,3–1,KTP Basket
2004–05,Lappeenrannan NMKY,Pussihukat,3–2,Kataja
2005–06,Lappeenrannan NMKY,Kataja,3–2,Espoon Honka
2006–07,Espoon Honka,Namika Lahti,3–0,Kataja
2007–08,Espoon Honka,Kouvot,3–1,Lappeenrannan NMKY
2008–09,Namika Lahti,Kataja,3–0,Tampereen Pyrintö
2009–10,Tampereen Pyrintö,Torpan Pojat,3–2,Kouvot
2010–11,Tampereen Pyrintö,Kataja,3–2,KTP Basket
2011–12,Bisons Loimaa,Kataja,3–1,Torpan Pojat
2012–13,Bisons Loimaa,KTP Basket,3–2,Kataja
2013–14,Tampereen Pyrintö,Kataja,3–1,Bisons Loimaa
2014–15,Kataja,Bisons Loimaa,3–2,KTP
2015–16,Kouvot,Tampereen Pyrintö,4–1,BC Nokia
2016–17,Kataja,Salon Vilpas,4–2,Helsinki Seagulls
2017–18,Kauhajoki Karhu,Salon Vilpas,4–2,Helsinki Seagulls
2018–19,Kauhajoki Karhu,Kouvot,4–1,KTP
2019–20,Not awarded due to the COVID-19 pandemic,Not awarded due to the COVID-19 pandemic,Not awarded due to the COVID-19 pandemic,Not awarded due to the COVID-19 pandemic
2020-21,Salon Vilpas,Kauhajoki Karhu,4-2,Helsinki Seagulls
2021-22,Kauhajoki Karhu,Salon Vilpas,3-1,Helsinki Seagulls
