Season,Champions,Promoted teams
1987–88,Montpellier PSC,"Saint-Quentin BB, BCM Gravelines"
1988–89,Reims CB,Chorale Roanne
1989–90,SCM Le Mans,JDA Dijon
1990–91,Lyon,
1991–92,Levallois SC,ESPE Châlons-en-Champagne
1992–93,ASA Sceaux,
1993–94,SLUC Nancy,SIG Strasbourg
1994–95,Besançon BCD,ALM Évreux
1995–96,Toulouse Spacer's,Élan Chalon
1996–97,Maurienne Savoie,Toulouse Spacer's
1997–98,Levallois SC (2),
1998–99,SIG Strasbourg,ESPE Châlons-en-Champagne
1999–00,JL Bourg,STB Le Havre
2000–01,Limoges,Hyères Toulon VB
2001–02,JA Vichy,Chorale Roanne
2002–03,Reims CB (2),Besançon BCD
2003–04,Stade Clermontois Basket,ESPE Châlons-en-Champagne
2004–05,Étendard de Brest,SPO Rouen
2005–06,Entente Orléanaise,Besançon BCD
2006–07,JA Vichy (2),
2007–08,Besançon BCD (2),SPO Rouen
2008–09,Poitiers,Paris-Levallois
2009–10,Élan Béarnais Pau-Lacq-Orthez,Limoges
2010–11,Nanterre,Dijon
2011–12,Limoges,Boulazac
2012–13,Olympique Antibes,Élan Béarnais Pau-Orthez
2013–14,Boulogne-sur-Mer,"JL Bourg, SPO Rouen, Champagne Châlons-Reims[a]"
2014–15,Monaco (2),Antibes Sharks
2015–16,Hyères-Toulon,ESSM Le Portel
2016–17,JL Bourg,Boulazac Dordogne
2017–18,ADA Blois,
2018–19,Roanne,Orleans Loiret
2019–20,Canceled due to the COVID-19 pandemic,Canceled due to the COVID-19 pandemic
2020–21,Fos,Paris
2021–22,SLUC Nancy (2),ADA Blois
