Season,Champions,Runners-up,Score
1990–91,Dinamo Tbilisi,,
1991–92,Dinamo Tbilisi,,
1992–93,BC Vita Tbilisi,Merani Tbilisi,2–0
1993–94,BC Vita Tbilisi,BC Tbilisi,2–1
1994–95,BC Vita Tbilisi,Kaktusi Tbilisi,2–1
1995–96,BC Vita Tbilisi,Dinamo Tbilisi,2–1
1996–97,BC Vita Tbilisi,Dinamo Tbilisi,2–0
1997–98,BC Vita Tbilisi,,
1998–99,BASCO Batumi,Azoti Rustavi,3–1
1999–00,BASCO Batumi,,
2000–01,BASCO Batumi,BC STU Tbilisi,2–0
2001–02,BASCO Batumi,Dinamo Tbilisi,3–0
2002–03,Dinamo Tbilisi,BASCO Batumi,3–2
2003–04,BASCO Batumi,Dinamo Tbilisi,3–2
2004–05,STU-Geocell Tbilisi,Aviamsheni Tbilisi,3–2
2005–06,Aviamsheni Tbilisi,Azoti Rustavi,3–2
2006–07,Azoti Rustavi,Aviamsheni Tbilisi,3–0
2007–08,Energy Invest Rustavi,Aviamsheni Tbilisi,3–1
2008–09,Energy Invest Rustavi,GSAU Tbilisi,3–0
2009–10,Energy Invest Rustavi,BC TSU Tbilisi,3–1
2010–11,BC Armia,BC TSU Tbilisi,3–1
2011–12,BC Armia,BC Olimpi Tbilisi,3–1
2012–13,BC MIA Academy,BC Olimpi Tbilisi,3–2
2013–14,Dinamo Tbilisi,Kutaisi,3–1
2014–15,BC MIA Academy,Dinamo Tbilisi,3–1
2015–16,Kutaisi,Dinamo Tbilisi,3–2
2016–17,Dinamo Tbilisi,Kutaisi,3–0
2017–18,Dinamo Tbilisi,Kutaisi,3–2
2018–19,Delta,Kutaisi,3–2
2019–20,Leader BC Batumi,Canceled due to COVID-19[4],
2020–21,Rustavi,Tskhum-Abkhazeti,3–0
2021–22,Kutaisi,BC Olimpi Tbilisi,3–0
