Season,Champion,Runner-up,Bronze,Fourth place
1993–94,Žalgiris,Atletas,Statyba,Lavera
1994–95,Žalgiris,Atletas,Lavera,Šiauliai
1995–96,Žalgiris,Atletas,Olimpas,Sakalai
1996–97,Žalgiris,Olimpas,Šilutė,Šiauliai
1997–98,Žalgiris,Atletas,Lietuvos rytas,Sakalai
1998–99,Žalgiris,Lietuvos rytas,Sakalai,Šiauliai
1999–00,Lietuvos rytas,Žalgiris,Šiauliai,Sakalai
2000–01,Žalgiris,Lietuvos rytas,Šiauliai,Alita
2001–02,Lietuvos rytas,Žalgiris,Alita,Šiauliai
2002–03,Žalgiris,Lietuvos rytas,Alita,Šiauliai
2003–04,Žalgiris,Lietuvos rytas,Šiauliai,Sakalai
2004–05,Žalgiris,Lietuvos rytas,Šiauliai,Sakalai
2005–06,Lietuvos rytas,Žalgiris,Šiauliai,Nevėžis
2006–07,Žalgiris,Lietuvos rytas,Šiauliai,Neptūnas
2007–08,Žalgiris,Lietuvos rytas,Šiauliai,Alytus
2008–09,Lietuvos rytas,Žalgiris,Šiauliai,Neptūnas
2009–10,Lietuvos rytas,Žalgiris,Šiauliai,Juventus
2010–11,Žalgiris,Lietuvos rytas,Rūdupis,Juventus
2011–12,Žalgiris,Lietuvos rytas,Rūdupis,Šiauliai
2012–13,Žalgiris,Lietuvos rytas,Neptūnas,Prienai
2013–14,Žalgiris,Neptūnas,Lietuvos rytas,Prienai
2014–15,Žalgiris,Lietuvos rytas,Juventus,Neptūnas
2015–16,Žalgiris,Neptūnas,Lietuvos rytas,Juventus
2016–17,Žalgiris,Lietkabelis,Lietuvos rytas,Neptūnas
2017–18,Žalgiris,Lietuvos rytas,Neptūnas,Lietkabelis
2018–19,Žalgiris,Rytas,Neptūnas,Lietkabelis
2019–20,Žalgiris[a],Rytas,Lietkabelis,Neptūnas
2020–21,Žalgiris,Rytas,Lietkabelis,Juventus
2021–22,Rytas,Lietkabelis,Žalgiris,Šiauliai–7bet
