Season,Champion,Result,Runner-up
2000,Correcaminos UAT Tampico,4–2,Correcaminos UAT Victoria
2001,Gallos de Pelea de Ciudad Juárez,4–1,Lobos UAdeC
2002,Correcaminos UAT Victoria,4–3,Correcaminos UAT Matamoros
2003,Panteras de Aguascalientes,4–2,La Ola Roja del Distrito Federal
2004,Santos de San Luis,4–2,Halcones de Xalapa
2005,Halcones de Xalapa,4–1,Lobos UAdeC
2006,Soles de Mexicali,4–3,Halcones de Xalapa
2007–08,Halcones de Xalapa,4–3,Soles de Mexicali
2008–09,Halcones de Xalapa,4–2,Soles de Mexicali
2009–10,Halcones de Xalapa,4–1,Halcones Rojos Veracruz
2010–11,Toros de Nuevo Laredo,4–2,Pioneros de Quintana Roo
2011–12,Halcones Rojos Veracruz,4–1,Toros de Nuevo Laredo
2012–13,Toros de Nuevo Laredo,4–2,Halcones de Xalapa
2013–14,Halcones Rojos Veracruz,4–3,Pioneros de Quintana Roo
2014–15,Soles de Mexicali,4–1,Pioneros de Quintana Roo
2015–16,Pioneros de Quintana Roo,4–3,Soles de Mexicali
2016–17,Fuerza Regia de Monterrey,4–2,Soles de Mexicali
2017–18,Soles de Mexicali,4–1,Capitanes de Ciudad de México
2018–19,Fuerza Regia de Monterrey,4–2,Capitanes de Ciudad de México
2019–20,Soles de Mexicali,4–3,Fuerza Regia de Monterrey
2020,Fuerza Regia de Monterrey,3–1,Aguacateros de Michoacán
2021,Fuerza Regia de Monterrey,4–0,Astros de Jalisco
2022,Abejas de León,4–0,Astros de Jalisco
