Team,Winners,Runners-up,Winning years
Real Madrid,28,23,"1951, 1952, 1954, 1956, 1957, 1960, 1961, 1962, 1965, 1966, 1967, 1970, 1971, 1972, 1973, 1974, 1975, 1977, 1985, 1986, 1989, 1993, 2012, 2014, 2015, 2016, 2017, 2020"
Barcelona,27,11,"1943, 1945, 1946, 1947, 1949, 1950, 1959, 1978, 1979, 1980, 1981, 1982, 1983, 1987, 1988, 1991, 1994, 2001, 2003, 2007, 2010, 2011, 2013, 2018, 2019, 2021, 2022"
Joventut,8,16,"1948, 1953, 1955, 1958, 1969, 1976, 1997, 2008"
Baskonia,6,3,"1995, 1999, 2002, 2004, 2006, 2009"
Estudiantes,3,4,"1963, 1992, 2000"
Laietà,2,2,"1942, 1944"
Zaragoza,2,2,"1984, 1990"
Málaga,2,2,"2005, 2023"
Rayo Club Madrid,2,1,"1933, 1936"
Picadero,2,0,"1964, 1968"
Valencia Basket,1,4,1998
Societé Patrie,1,2,1935
L'Hospitalet,1,1,1940
Manresa,1,1,1996
Espanyol,1,0,1941
Aismalíbar,0,4,
Inmobanco,0,2,
Montgat,0,1,
Canarias de Madrid,0,1,
Hesperia,0,1,
Náutico Tenerife,0,1,
Kas Vitoria,0,1,
Cáceres,0,1,
Sevilla,0,1,
Gran Canaria,0,1,
Canarias,0,1,
