Season,Winners,Score,Runners-up,MVP
1966–67,Fenerbahçe,84–67 / 65–76,Muhafızgücü,—
1967–68,Altınordu,71–56 / 63–67,Muhafızgücü,—
1968–69,İTÜ,64–56,Galatasaray,—
1969–70,Galatasaray,86–83,İTÜ,—
1970–71,İTÜ,74–69,Beşiktaş,—
1971–72,Galatasaray,70–69,İTÜ,—
1972–73,TED Ankara Kolejliler,64–68 / 68–56,Beşiktaş,—
1992,Paşabahçe,79–71,Nasaş,—
1993,Tofaş,90–64,Nasaş,—
1993–94,Efes Pilsen,81–76,Fenerbahçe,—
1994–95,Galatasaray,66–54,Ortaköy,—
1995–96,Efes Pilsen,89–63,Türk Telekom,—
1996–97,Efes Pilsen,84–71,Fenerbahçe,—
1997–98,Efes Pilsen,71–67,Türk Telekom,—
1998–99,Tofaş,77–75,Fenerbahçe,—
1999–00,Tofaş,72–54,Ülker,—
2000–01,Efes Pilsen,85–78,Türk Telekom,—
2001–02,Efes Pilsen,78–74,Darüşşafaka,—
2002–03,Ülker,79–63,Türk Telekom,—
2003–04,Ülker,84–74,Efes Pilsen,—
2004–05,Ülker,73–41,Pınar Karşıyaka,—
2005–06,Efes Pilsen,74–68,Ülker,—
2006–07,Efes Pilsen,73–59,Banvit,—
2007–08,Türk Telekom,80–61,Oyak Renault,—
2008–09,Efes Pilsen,79–70,Erdemirspor,—
2009–10,Fenerbahçe Ülker,72–68,Mersin B.B.,—
2010–11,Fenerbahçe Ülker,81–72,Beşiktaş Cola Turka,Emir Preldžič
2011–12,Beşiktaş Milangaz,78–74,Banvit,Serhat Çetin
2012–13,Fenerbahçe Ülker,63–57,Galatasaray Medical Park,David Andersen
2013–14,Pınar Karşıyaka,66–65,Anadolu Efes,Bobby Dixon
2014–15,Anadolu Efes,70–60,Fenerbahçe Ülker,Thomas Heurtel
2016,Fenerbahçe,67–65,Darüşşafaka Doğuş,Bogdan Bogdanović
2017,Banvit,75–66,Anadolu Efes,Jordan Theodore
2018,Anadolu Efes,78–61,Tofaş,Krunoslav Simon
2019,Fenerbahçe Beko,80–70,Anadolu Efes,Luigi Datome
2020,Fenerbahçe Beko,74–71,Darüşşafaka,Luigi Datome
2021,Cancelled due to the COVID-19 pandemic.,Cancelled due to the COVID-19 pandemic.,Cancelled due to the COVID-19 pandemic.,Cancelled due to the COVID-19 pandemic.
2022,Anadolu Efes,86–72,Fenerbahçe Beko,Tibor Pleiß
2023,Cancelled after the 2023 Turkey–Syria earthquake.,Cancelled after the 2023 Turkey–Syria earthquake.,Cancelled after the 2023 Turkey–Syria earthquake.,Cancelled after the 2023 Turkey–Syria earthquake.
