Year,Winner,Runners-up,Final score,Third place
1992,Budivelnyk,NKI Mykolaiv,Round-robin,Spartak Lugansk
1992–93,Budivelnyk,SKA Kyiv,Round-robin,NKI Mykolaiv
1993–94,Budivelnyk,Kyiv-Basket,3–0,BIPA-Moda Odesa
1994–95,Budivelnyk,Kyiv-Basket,3–0,Shakhtar-ASKO Donetsk
1995–96,Budivelnyk,Shakhtar Donetsk,Round-robin,Kyiv-Basket
1996–97,Budivelnyk,BIPA-Moda Odesa,3–2,Kyiv-Basket
1997–98,BIPA-Moda Odesa,Budivelnyk,3–0,SC Mykolaiv
1998–99,BIPA-Moda Odesa,CSKA-RIKO Kyiv,3–2,Budivelnyk
1999–00,Kyiv,MBC Odesa,3–2,CSKA-Ukrtatnafta Kyiv
2000–01,MBC Odesa,Kyiv,3–2,Azovmash
2001–02,MBC Odesa,Kyiv,3–2,Azovmash
2002–03,Azovmash,MBC Odesa,4–0,Kyiv
2003–04,Azovmash,Kyiv,4–2,MBC Odesa
2004–05,Kyiv,Azovmash,3–0,Khimik
2005–06,Azovmash,Kyiv,3–1,Khimik
2006–07,Azovmash,Kyiv,3–2,Khimik
2007–08,Azovmash,Kyiv,3–1,Khimik
2008–09*,Azovmash,Donetsk,3–0,Khimik
2008–09*,Kryvbasbasket,Budivelnyk,3–2,Politekhnika-Halychyna
2009–10,Azovmash,Budivelnyk,3–2,Ferro-ZNTU
2010–11,Budivelnyk,Donetsk,4–3,Hoverla
2011–12,Donetsk,Azovmash,4–0,Ferro-ZNTU
2012–13,Budivelnyk,Azovmash,4–3,Ferro-ZNTU
2013–14,Budivelnyk,Khimik,3–1,Azovmash
2014–15,Khimik,Dnipro,3–0,Budivelnyk
2015–16*,Khimik,Dynamo,3–1,Kryvbas
2015–16*,Dnipro,Budivelnyk,3–0,Politekhnika-Halychyna
2016–17,Budivelnyk,Khimik,3–1,Dnipro
2017–18,Cherkaski Mavpy,Dnipro,3–0,Khimik
2018–19,Khimik,Kyiv-Basket,3–0,Zaporizhya
2019–20,Dnipro,Kyiv-Basket,—,Prometey
2020–21,Prometey,Zaporizhya,3–0,Kyiv-Basket
2021–22,Suspended (Russian invasion of Ukraine),Suspended (Russian invasion of Ukraine),Suspended (Russian invasion of Ukraine),Suspended (Russian invasion of Ukraine)
2022–23,Budivelnyk,BIPA Odesa,—,Dnipro
