Season,Host city,Final,Final,Final,Third place game,Third place game,Third place game
Season,Host city,Champion,Score,Runner-up,Bronze,Score,4th place
2013–14,No playoffs,Khimki-2,By location,Zenit-2,UNICS-2,By location,CSKA-2
2014–15,Saratov,CSKA-2,97:76,UNICS-2,Khimki-2,91:66,Avtodor-2
2015–16,Samara,CSKA-2,67:65,Avtodor-2,Khimki-2,69:66,Samara-2
2016–17,Krasnodar,CSKA-2,70:61,Khimki-2,Samara-2,78:74,Lokomotiv-Kuban-2
2017–18,Samara,CSKA Junior,78:74,Samara-2,Khimki-2,91:88,Lokomotiv-Kuban-2
2018–19,Saint Petersburg,Khimki-2,82:70,CSKA Junior,Samara-2,91:65,Avtodor-2
2020-21,Saint Petersburg,CSKA Junior,89:65,Lokomotiv-Kuban-2,Nizhny Novgorod-2,63:61,Khimki-2
2021-22,Moscow,Zenit M,71:68,CSKA Junior,Khimki-2,57:55,MBA-2
