#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Final Spor Genclik,24,40.3,85.2,29.4,64.5,0.456,11.3,29.3,0.387,15.0,21.1,0.71,7.5,25.8,33.3,20.7,7.6,3.0,12.6,19.0,2020,Turkish-TBL
2,Lokman Hekim Fethiye Belediye Spor,23,40.4,83.3,30.1,64.1,0.47,9.0,26.8,0.334,14.1,21.2,0.667,9.8,26.2,36.0,22.1,6.6,2.3,13.5,19.7,2020,Turkish-TBL
3,Merkezefendi Belediyesi Denizli Basket,23,40.0,82.4,29.7,67.1,0.443,9.8,28.5,0.343,13.1,19.4,0.676,11.9,26.7,38.6,21.0,6.9,2.2,11.9,23.5,2020,Turkish-TBL
4,Best Balikesir Basketbol Kulubu,13,40.4,81.7,30.0,64.2,0.468,9.1,24.5,0.37,12.6,19.2,0.656,11.1,26.7,37.8,20.8,8.1,3.2,16.1,21.5,2020,Turkish-TBL
5,Balikesir Buyuksehir Belediysepor,24,40.4,81.6,30.3,65.5,0.462,8.2,23.9,0.341,12.8,19.9,0.646,10.9,25.5,36.4,20.7,8.0,3.0,15.2,20.9,2020,Turkish-TBL
6,Gemlik Basketbol Bursa,24,40.0,81.1,29.1,63.2,0.46,8.4,24.5,0.344,14.5,19.7,0.739,7.8,25.7,33.5,19.8,5.1,1.0,12.9,21.3,2020,Turkish-TBL
7,Socar Petkimspor,24,41.0,80.9,29.5,63.3,0.466,8.3,25.0,0.331,13.6,20.6,0.661,9.1,26.7,35.8,21.8,8.1,1.7,12.5,20.1,2020,Turkish-TBL
8,Yeni Mamak Spor Klubu,24,40.4,80.9,27.5,60.8,0.452,8.8,24.0,0.369,17.1,23.5,0.729,6.3,24.7,31.0,18.8,6.6,1.7,12.9,20.3,2020,Turkish-TBL
9,Anadolu Basket,24,39.8,78.3,27.2,64.1,0.424,8.3,25.4,0.325,15.7,23.1,0.679,9.0,24.0,32.9,17.5,7.2,1.8,13.9,21.3,2020,Turkish-TBL
10,Bandirma Kirmizi,24,40.0,77.6,28.2,66.8,0.422,6.8,24.1,0.282,14.4,21.3,0.674,12.0,25.8,37.7,14.6,7.8,3.0,14.1,20.7,2020,Turkish-TBL
11,Akhisar Belediye,23,40.0,76.7,27.3,59.5,0.459,8.3,25.1,0.332,13.6,18.7,0.728,7.9,26.0,33.8,19.3,6.2,1.1,13.5,21.0,2020,Turkish-TBL
12,Yalova Group Belediye Spor,24,40.2,76.1,28.1,63.2,0.445,9.2,23.8,0.388,10.7,15.8,0.677,10.3,24.0,34.3,17.8,6.5,1.8,12.4,19.7,2020,Turkish-TBL
13,Torku Konyaspor,24,40.2,74.4,26.5,61.9,0.428,8.8,26.8,0.328,12.7,19.5,0.65,9.4,24.5,33.8,17.7,7.2,1.8,12.3,20.5,2020,Turkish-TBL
14,Bornova Belediye,23,40.1,73.9,26.5,62.2,0.426,6.9,22.3,0.308,14.0,20.7,0.678,9.5,26.7,36.3,17.8,6.7,2.5,13.0,21.5,2020,Turkish-TBL
15,Manisa Buyuksehir Belediye,24,40.4,71.3,25.0,62.3,0.402,8.9,28.7,0.311,12.3,18.3,0.67,10.2,25.0,35.3,16.5,6.9,1.5,13.1,21.3,2020,Turkish-TBL
16,Duzce Belediye,24,40.2,71.0,25.3,63.0,0.402,6.8,22.0,0.307,13.6,19.7,0.693,10.7,22.2,32.8,18.3,7.3,2.4,13.4,20.4,2020,Turkish-TBL
17,Samsunspor DSI,24,40.0,65.8,23.5,57.1,0.412,9.3,29.2,0.317,9.5,14.3,0.667,8.2,23.3,31.5,17.8,6.2,2.1,14.1,20.1,2020,Turkish-TBL
